Bulan,SUM of Inflasi mom,"<b>Aug-2025<br>0,26</b>"
Wed Aug 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),-0.05,-0.05
Sat Sep 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),-0.18,-0.18
Mon Oct 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.28,0.28
Thu Nov 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.27,0.27
Sat Dec 01 2018 00:00:00 GMT+0700 (Western Indonesia Time),0.62,0.62
Tue Jan 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.32,0.32
Fri Feb 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),-0.08,-0.08
Fri Mar 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.11,0.11
Mon Apr 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.44,0.44
Wed May 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.68,0.68
Sat Jun 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.55,0.55
Mon Jul 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.31,0.31
Thu Aug 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.12,0.12
Sun Sep 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),-0.27,-0.27
Tue Oct 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.02,0.02
Fri Nov 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.14,0.14
Sun Dec 01 2019 00:00:00 GMT+0700 (Western Indonesia Time),0.34,0.34
Wed Jan 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.39,0.39
Sat Feb 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.28,0.28
Sun Mar 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.1,0.1
Wed Apr 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.08,0.08
Fri May 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.07,0.07
Mon Jun 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.18,0.18
Wed Jul 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-0.1,-0.1
Sat Aug 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-0.05,-0.05
Tue Sep 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),-0.05,-0.05
Thu Oct 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.07,0.07
Sun Nov 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.28,0.28
Tue Dec 01 2020 00:00:00 GMT+0700 (Western Indonesia Time),0.45,0.45
Fri Jan 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.26,0.26
Mon Feb 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.1,0.1
Mon Mar 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.08,0.08
Thu Apr 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.13,0.13
Sat May 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.32,0.32
Tue Jun 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),-0.16,-0.16
Thu Jul 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.08,0.08
Sun Aug 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.03,0.03
Wed Sep 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),-0.04,-0.04
Fri Oct 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.12,0.12
Mon Nov 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.37,0.37
Wed Dec 01 2021 00:00:00 GMT+0700 (Western Indonesia Time),0.57,0.57
Sat Jan 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.56,0.56
Tue Feb 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),-0.02,-0.02
Tue Mar 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.66,0.66
Fri Apr 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.95,0.95
Sun May 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.4,0.4
Wed Jun 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.61,0.61
Fri Jul 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.64,0.64
Mon Aug 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),-0.21,-0.21
Thu Sep 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),1.17,1.17
Sat Oct 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),-0.11,-0.11
Tue Nov 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.09,0.09
Thu Dec 01 2022 00:00:00 GMT+0700 (Western Indonesia Time),0.66,0.66
Sun Jan 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.34,0.34
Wed Feb 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.16,0.16
Wed Mar 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.18,0.18
Sat Apr 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.33,0.33
Mon May 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.09,0.09
Thu Jun 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.14,0.14
Sat Jul 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.21,0.21
Tue Aug 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),-0.02,-0.02
Fri Sep 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.19,0.19
Sun Oct 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.17,0.17
Wed Nov 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.38,0.38
Fri Dec 01 2023 00:00:00 GMT+0700 (Western Indonesia Time),0.41,0.41
Mon Jan 01 2024 00:00:00 GMT+0700 (Western Indonesia Time),0.04,0.04
